GATE_SI_LF: 1044.672,1120.744,832.0371,1056.038,1,0
Connection: GATE_LF_SB,LF_C03,45,11,4,15,0,2
Connection: GATE_LF_SB,LF_S04,36,5,15,20,3,2
Connection: GATE_LF_SU,LF_A14,2,9,44,15,2,0
Connection: LF_C05,LF_A07,23,8,23,30,3,1
Connection: LF_A07,LF_F02,9,2,57,95,3,3
Connection: LF_F02,LF_A04,8,11,42,30,3,1
Connection: LF_F02,LF_A06,99,11,5,29,3,1
Connection: LF_A04,LF_E04,5,30,254,5,1,3
Connection: LF_S02,LF_A06,22,14,5,3,0,3
Connection: LF_A06,LF_D03,42,27,2,51,1,2
Connection: LF_E04,LF_A03,17,3,44,32,3,1
Connection: LF_A03,LF_H01,3,30,410,10,1,3
Connection: LF_H01,LF_A05,21,3,43,29,3,1
Connection: LF_H01,LF_A15,194,6,30,27,3,1
Connection: LF_A15,LF_S06,7,7,7,23,3,1
Connection: LF_A05,LF_J01,3,28,253,43,1,3
Connection: LF_A05,LF_D08,9,3,199,31,2,1
Connection: LF_J01,LF_C03,18,8,141,11,3,3
Connection: LF_D03,LF_E02,10,4,221,1,3,3
Connection: LF_E02,LF_E03,8,8,241,1,3,0
Connection: LF_E03,LF_A10,7,7,40,1,3,0
Connection: LF_A10,LF_COAST01,14,15,9,30,3,1
Connection: LF_A10,LF_D02,6,1,97,49,2,3
Connection: LF_D02,LF_D06,7,1,42,141,2,0
Connection: LF_D02,LF_E01,98,6,14,7,3,3
Connection: LF_D06,LF_S01,8,143,22,18,1,0
Connection: LF_D06,LF_A01,42,12,7,10,3,2
Connection: LF_E01,LF_D01,239,2,15,2,3,3
Connection: LF_D01,LF_B02,197,7,8,45,3,3
Connection: LF_B02,LF_S07,45,20,24,19,0,2
Connection: LF_B02,LF_A17,2,16,48,11,2,0
Connection: LF_B02,LF_C01,18,4,152,15,3,3
Connection: LF_C01,LF_B03,4,21,97,21,2,0
Connection: LF_B03,LF_C02,3,21,150,20,2,0
Connection: LF_B03,LF_B05,46,5,5,48,0,2
Connection: LF_B05,LF_D04,39,13,3,51,0,3
Connection: LF_D04,LF_A14,100,55,5,12,3,3
Connection: LF_D04,LF_A11,6,12,43,15,2,0
Connection: LF_A14,LF_S05,11,12,14,26,3,1
Connection: LF_A11,LF_A13,2,29,43,6,1,3
Connection: LF_A11,LF_A12,5,13,42,5,2,0
Connection: LF_A13,LF_C02,2,31,126,5,1,0
Connection: LF_A13,LF_A12,7,6,26,30,3,1
Connection: LF_A12,LF_B01,5,29,44,58,1,3
Connection: LF_B01,LF_D07,18,54,189,20,3,3
Connection: LF_C02,LF_A02,4,20,45,19,2,0
Connection: LF_A02,LF_H02,4,6,203,12,2,0
Connection: LF_H02,LF_A01,19,51,50,10,2,0
Connection: LF_A01,LF_E05,4,26,253,25,2,0
Connection: LF_E05,LF_B04,15,10,96,8,2,0
Connection: LF_B04,LF_D08,4,32,3,6,2,2
Connection: LF_B04,LF_S03,4,10,24,18,2,0
Connection: LF_COAST01,LF_COAST02,14,9,96,19,2,0
